geoid,No,Yes,tot,with,without
48029171924,185,187,372,0.503,0.497
48439113632,172,292,464,0.629,0.371
48439113710,137,223,360,0.619,0.381
48439104701,634,436,1070,0.407,0.593
48439113918,363,315,678,0.465,0.535
48439111017,731,550,1281,0.429,0.571
48439121903,233,212,445,0.476,0.524
48029980005,22,21,43,0.488,0.512
48029191812,97,142,239,0.594,0.406
48029171402,254,424,678,0.625,0.375
48029171401,110,194,304,0.638,0.362
48029171917,263,264,527,0.501,0.499
48029172005,221,248,469,0.529,0.471
48157672702,270,214,484,0.442,0.558
48157672301,165,239,404,0.592,0.408
48157673901,418,435,853,0.51,0.49
48157672602,144,159,303,0.525,0.475
48439113114,264,257,521,0.493,0.507
48439113517,154,125,279,0.448,0.552
48439113518,176,161,337,0.478,0.522
48439113709,397,478,875,0.546,0.454
48439113917,502,436,938,0.465,0.535
48157672701,321,330,651,0.507,0.493
48029181731,292,222,514,0.432,0.568
48029181728,428,333,761,0.438,0.562
48029180102,240,312,552,0.565,0.435
48029180604,440,651,1091,0.597,0.403
48029191006,446,787,1233,0.638,0.362
48029181404,127,80,207,0.386,0.614
48113014203,150,260,410,0.634,0.366
48113014204,419,223,642,0.347,0.653
48141010346,377,161,538,0.299,0.701
48141000208,251,136,387,0.351,0.649
48141010216,713,312,1025,0.304,0.696
48141003402,913,361,1274,0.283,0.717
48141010222,562,191,753,0.254,0.746
48141010220,513,187,700,0.267,0.733
48141010211,381,153,534,0.287,0.713
48141000207,357,162,519,0.312,0.688
48141001114,374,192,566,0.339,0.661
48029191505,135,157,292,0.538,0.462
48439111309,505,371,876,0.424,0.576
48439105901,462,344,806,0.427,0.573
48439123200,1452,1139,2591,0.44,0.56
48439123000,859,668,1527,0.437,0.563
48439123600,1086,667,1753,0.38,0.62
48113014302,249,453,702,0.645,0.355
48113014306,210,360,570,0.632,0.368
48113014307,180,315,495,0.636,0.364
48491020113,241,119,360,0.331,0.669
48439111539,628,717,1345,0.533,0.467
48439111540,365,296,661,0.448,0.552
48439111541,309,275,584,0.471,0.529
48439111542,397,351,748,0.469,0.531
48029172004,179,194,373,0.52,0.48
48029181815,252,194,446,0.435,0.565
48029181813,166,150,316,0.475,0.525
48029121905,216,346,562,0.616,0.384
48029172003,220,208,428,0.486,0.514
48439110805,587,491,1078,0.455,0.545
48439111543,395,318,713,0.446,0.554
48439111544,564,433,997,0.434,0.566
48439111550,707,632,1339,0.472,0.528
48439111408,398,281,679,0.414,0.586
48439111551,499,359,858,0.418,0.582
48439111311,360,280,640,0.438,0.562
48029191503,248,246,494,0.498,0.502
48029191504,193,251,444,0.565,0.435
48029181820,244,259,503,0.515,0.485
48121021722,238,341,579,0.589,0.411
48029181814,179,160,339,0.472,0.528
48029181816,147,118,265,0.445,0.555
48029181819,206,190,396,0.48,0.52
48339694302,518,609,1127,0.54,0.46
48339694202,664,696,1360,0.512,0.488
48339694102,322,366,688,0.532,0.468
48339691601,150,127,277,0.458,0.542
48085031804,506,330,836,0.395,0.605
48085031805,671,438,1109,0.395,0.605
48121021749,166,217,383,0.567,0.433
